Date,Actividades.Primarias,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/6/2017,133.1451473,105.0242387,116.5364423,83.60426148,113.2791256,105.696246,115.775849,3.2667071
1/7/2017,108.3899391,103.2044873,112.3285873,83.32967528,109.748945,105.7346665,115.4949796,3.41034128
1/8/2017,87.84016165,106.6664422,116.0099343,82.81847581,117.0332598,105.3874035,116.2733977,3.52564758
1/9/2017,79.13211212,101.676602,110.7206029,73.99052034,110.5653334,106.1322504,116.5846104,3.59753175
1/10/2017,97.49940775,105.727881,117.1615079,80.6999392,115.5587783,107.6203216,110.8379465,3.50177064
1/11/2017,150.6881067,104.9573941,120.0463483,77.96422342,115.1039168,107.7438122,111.5893038,3.41921411
1/12/2017,153.6599609,102.1930263,119.6029217,79.60165712,106.1244022,115.223571,102.8252878,3.12786122
1/1/2018,131.7099351,104.7677233,113.1081435,87.31907766,111.278538,107.7210567,103.8455303,3.38919158
1/2/2018,106.4583531,100.9879141,111.5593181,75.11057961,108.6119267,108.9559234,103.2758236,3.20505718
1/3/2018,89.46248678,103.8468614,116.2120137,80.57861079,114.0065284,104.5497929,103.068261,2.93962909
1/4/2018,108.0591263,102.8952543,115.9127556,78.53136759,112.2638606,104.6082816,110.6379675,3.398701
1/5/2018,124.2203289,106.3540187,119.8240681,80.42372922,116.8743026,107.5945162,111.6842126,3.22184807
1/6/2018,126.803507,105.2982765,118.7774903,77.9778619,115.6991364,106.6278041,118.0190766,3.38527594
1/7/2018,111.8947645,104.5833468,117.3721113,77.3032745,112.3566197,110.6152417,121.531101,3.47763888
1/8/2018,90.41774979,106.9279687,118.922446,79.49744092,119.5961252,103.3998873,120.3263104,3.46852407
1/9/2018,79.99663432,103.4950487,113.1324628,75.94413516,113.1372822,105.647529,121.2335273,3.60037254
1/10/2018,94.73022619,106.7812698,121.9405587,76.11468778,118.5521527,109.1041284,115.924799,3.23839404
1/11/2018,159.0163868,103.6828491,123.7283905,71.81854673,116.9876049,103.9504849,112.4870396,3.26346553
1/12/2018,160.9505337,99.59219834,120.7244534,72.93829192,106.3431758,110.2495466,101.4280129,3.35449462
1/1/2019,136.6750716,103.7504104,115.628692,78.46477829,112.7100576,109.1016675,102.119335,3.56775405
1/2/2019,116.2289994,100.1849538,113.4073929,70.2775986,109.8493417,107.720439,102.1232799,3.29943176
1/3/2019,,,,,,,,3.24544326
1/4/2019,,,,,,,,
1/5/2019,,,,,,,,
