"","InflacionNacional","Salarios","Precios.EUA","Tipo.de.cambio","Industria.EUA","Actividades.Primarioas","Actividades.Secundarias","Actividades.Terciarias","Mineria","Manufactura","Construccion","Energia","Desempleo","Billetes.y.monedas","Ingreso.Mexico","TIIE28","TIIE91"
"01/05/2014",4.43717249970928,4.50477178310451,5.47185041730891,2.56093361283368,4.61435190470293,4.74877544985416,4.65475571091714,4.64695095785442,4.61398905718014,4.67189993868579,4.64588851945572,4.70357516468555,1.59780220134522,20.5903802848648,4.65299554678916,1.33500106673234,1.34025042261848
"01/06/2014",4.43890391738907,4.50304111026646,5.47371081264395,2.56365621401954,4.61769047898449,4.75450786818778,4.62965383918699,4.62808185950115,4.57455726112246,4.65352087264905,4.60979548478273,4.72121965944901,1.57175394955502,20.5906993021254,4.6328654733522,1.23256026117785,1.23547147138531
"01/07/2014",4.44165027131884,4.50029399746938,5.47332054253431,2.56290110738264,4.61913620553614,4.68640748569851,4.63820309023214,4.646198814838,4.58061690670288,4.65507081146232,4.6338984716015,4.73913996613176,1.69935969906982,20.6035432509527,4.6447736566496,1.19392246847243,1.19694818938897
"01/08/2014",4.44523573901278,4.49670931363191,5.47164863150386,2.57634571010478,4.61836672734247,4.40384569206852,4.64081644241424,4.62234512078503,4.6018836698053,4.64866102971991,4.63505101210254,4.75936382689251,1.6465313375908,20.6025496079313,4.62251231619342,1.19392246847243,1.19694818938897
"01/09/2014",4.44964252428962,4.49230267432417,5.47240091729025,2.58023198099269,4.62131219983819,4.27686569423848,4.62315959392458,4.6094332123651,4.55412800154348,4.64127993433527,4.62356307497196,4.73668393841988,1.62771068382275,20.5989952316954,4.60520702730944,1.19088756477728,1.19392246847243
"01/10/2014",4.45515656847183,4.48678859623394,5.46988547841236,2.60096968857896,4.62154439394564,4.51980151490891,4.68481435487098,4.67181418436453,4.579267841452,4.7136053371063,4.70865337557153,4.72918631284116,1.56349775912274,20.6274273877324,4.6718285090696,1.19088756477728,1.19392246847243
"01/11/2014",4.46318922892491,4.47875512638002,5.46447143092982,2.60873802397859,4.62952225279445,4.8896675704501,4.6402135389938,4.66968009077872,4.54287298747602,4.65949415040229,4.68109543254084,4.66574462113343,1.51021083097629,20.6666310188298,4.66753309939402,1.19088756477728,1.19392246847243
"01/12/2014",4.46807798933326,4.47386716583924,5.45878519397339,2.66907372478735,4.62802305851356,4.9523406703083,4.62661224906689,4.68125029013908,4.56456018305853,4.60906261962962,4.71562471629446,4.63285824725138,1.32372878045469,20.7842593366014,4.67289041013618,1.19392246847243,1.19694818938897
"01/01/2015",4.46717286760281,4.5158503283243,5.45406819402734,2.6861930647469,4.62212857619564,4.75463763028141,4.62529006491543,4.62242529267603,4.60347158207694,4.64919320727121,4.59267775245814,4.63102673849848,1.50698993565856,20.7476900437631,4.62785622089366,1.19392246847243,1.19694818938897
"01/02/2015",4.46906837415048,4.51395471142415,5.4584018351491,2.70248139068713,4.61779416717346,4.59520691553621,4.59695319862475,4.6088375579512,4.51927693137568,4.63069869497337,4.59422216339499,4.60133711826117,1.4644518089612,20.7483819998267,4.60436432857221,1.19392246847243,1.19694818938897
"01/03/2015",4.47313158704958,4.50989090570637,5.46433591522884,2.72131516449957,4.61462336357808,4.39532051801153,4.64635915508494,4.66537262363851,4.59911075586566,4.68734493340265,4.59777516731411,4.65792485160237,1.35143803137486,20.7855574901407,4.65136468337494,1.19392246847243,1.20297230399235
"01/04/2015",4.47053922197074,4.52600251202753,5.46636672499267,2.72279430397597,4.6096133007188,4.6120839606725,4.6217883689073,4.65258347508088,4.50768235746699,4.6559512707687,4.64282345884842,4.65842005847774,1.46180322103627,20.7686039611045,4.64090265980241,1.19392246847243,1.19694818938897
