Date,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/7/2012,99.49116203,101.88878,97.8960181,100.3588,99.1354,108.3718,106.0335,4.99202873
1/8/2012,78.19227873,101.9501799,98.59844754,101.7273,101.6279,101.9704,106.306,5.32777829
1/9/2012,65.43879375,99.65364649,94.25524664,97.6635,98.088,103.9745,104.1583,4.90520453
1/10/2012,85.47813061,103.7211892,101.6701312,101.1311,103.6483,106.3782,103.5537,5.03047598
1/11/2012,137.3791998,102.4484579,103.7806764,99.9484,101.3543,107.9361,98.5963,5.04764898
1/12/2012,127.6087334,96.78053509,101.2112401,101.799,92.6374,101.5604,93.094,4.39544582
1/1/2013,103.6228405,99.09815237,97.06574854,105.3435,98.6842,95.0096,94.2308,5.40787857
1/2/2013,89.86471099,96.15029507,94.10795709,94.3437,95.8,99.55,91.5231,4.75052305
1/3/2013,77.17679793,97.92476063,97.60220161,102.7279,97.8161,94.3501,94.1013,4.47565818
1/4/2013,95.37160319,99.87695202,100.1721847,98.8593,101.1723,98.7597,96.5524,4.96199892
1/5/2013,109.0784621,102.433418,101.8541124,101.1349,102.4732,103.6437,102.1474,4.91098239
1/6/2013,115.6023786,98.61943913,99.20393728,97.863,99.9817,95.3771,103.8957,4.99953497
1/7/2013,102.6144305,100.6124419,100.8272028,99.1264,100.8696,100.2736,106.6027,5.13158583
1/8/2013,76.76809143,101.8324178,100.6082165,101.119,102.7774,99.2643,107.9667,5.18310622
1/9/2013,69.06407925,98.36631927,97.35396642,96.8284,98.2906,98.6935,104.8129,5.305093
1/10/2013,94.55908803,104.909494,103.4508379,101.7699,106.9578,103.6839,104.201,5.00978373
1/11/2013,130.8947436,101.8681798,104.1712131,98.9376,101.7932,105.3205,99.386,4.48462178
1/12/2013,135.3827739,98.30812997,103.5824218,101.9462,93.384,106.0742,94.5798,4.26655125
1/1/2014,102.1076592,100.2508566,97.67199122,104.9045,101.6261,92.8404,100.4943,5.06851957
1/2/2014,98.98699022,97.35589327,96.59054003,94.1479,97.6848,99.6625,97.6045,4.66156322
1/3/2014,82.56405761,102.8094328,101.1164729,103.3399,105.0783,97.1014,104.6614,4.79610667
1/4/2014,96.36428613,100.1565438,100.6150879,97.321,100.9325,100.2418,104.9436,4.85187491
1/5/2014,115.4428324,105.0835461,104.2665872,100.8858,106.9007,104.1559,110.341,4.94215861
1/6/2014,116.1064994,102.4785839,102.3176162,96.9851,104.9539,100.4636,112.3051,4.81508621
1/7/2014,108.4628248,103.3584548,104.1881933,97.5746,105.1167,102.9145,114.3358,5.47044354
1/8/2014,81.7647067,103.6289201,101.7323272,99.6719,104.445,103.0332,116.6717,5.18894986
1/9/2014,72.01437085,101.8152192,100.4272126,95.0239,103.677,101.8563,114.0554,5.0922037
1/10/2014,91.81737179,108.2901669,106.8914875,97.443,111.4533,110.9027,113.2034,4.7754956
1/11/2014,132.9093837,103.5664607,106.6636143,93.9604,105.5827,107.8882,106.2447,4.52768527
1/12/2014,141.505795,102.1673596,107.9049007,96.0204,100.39,111.6786,102.8075,3.75740583
1/1/2015,116.1215666,102.0323648,101.7404836,99.8303,104.5006,98.7585,102.6194,4.51312553
1/2/2015,99.00861985,99.18166798,100.3674105,91.7692,102.5857,98.9112,99.6174,4.32517157
1/3/2015,81.07061119,104.2049002,106.2051524,99.3959,108.5646,99.2632,105.4171,3.86297662
1/4/2015,100.693773,101.6757033,104.8555276,90.7113,105.2093,103.8371,105.4693,4.31373113
1/5/2015,120.7778131,103.9228429,106.6188257,94.3359,107.2362,104.8053,109.8753,4.44613174
1/6/2015,111.9029311,103.5711882,108.7091809,92.4332,108.6019,101.735,112.2087,4.40523922
1/7/2015,101.4801359,106.0771873,108.2264519,93.4929,107.7343,112.5594,115.9072,4.717361
1/8/2015,83.80933961,106.0329555,106.1141459,95.5616,108.8557,107.3895,118.9951,4.68048476
1/9/2015,74.91611509,105.1027673,106.2727684,91.2325,108.4001,108.7806,117.6036,4.49763049
1/10/2015,92.76624738,107.8619832,110.89056,93.8984,113.8359,106.6116,116.9902,4.55122966
1/11/2015,129.1877965,103.6927348,110.7193032,90.0678,107.1357,108.0209,110.2699,3.95955845
1/12/2015,145.5142022,102.7892968,111.9474708,92.4342,103.037,111.7966,104.4376,3.96267474
1/1/2016,118.1210878,102.9932694,104.7798337,97.6913,105.6613,102.7094,101.2905,4.2363687
1/2/2016,102.4886461,102.4114424,106.3370983,91.3475,106.6609,104.2977,100.4813,4.14591136
1/3/2016,79.88104206,103.2952151,108.8083938,94.8864,107.0766,103.1903,103.6352,3.73772355
1/4/2016,101.5418883,103.8533092,109.5874742,89.3007,108.6318,106.9207,106.968,3.79895766
1/5/2016,113.8341746,104.9876065,111.2294534,91.2947,108.6565,108.5879,113.1118,4.0338131
1/6/2016,127.5671882,105.017452,112.4661638,88.4398,110.872,106.1853,115.7659,3.93033896
1/7/2016,104.9089326,103.6633551,110.1911277,89.5921,106.4696,108.0788,118.6408,4.00708718
1/8/2016,90.00858481,106.3296459,111.7073739,89.5561,112.8349,106.0018,118.5531,4.0038332
1/9/2016,77.17305172,103.1848696,109.4986032,86.041,108.4377,105.7775,115.8952,4.13839194
1/10/2016,94.93836191,106.573807,114.1685463,88.8183,112.4321,109.3067,115.086,3.67093013
1/11/2016,139.8877281,106.3133956,116.9869547,84.1611,112.433,114.0119,108.2159,3.51486793
